date,bs_yi,bs_yoy_bn
2016-01-01,361975.60975609755,
2016-02-01,360678.0487804878,
2016-03-01,361326.8292682927,
2016-04-01,368463.4146341463,
2016-05-01,366517.0731707317,
2016-06-01,370409.756097561,
2016-07-01,374951.2195121951,
2016-08-01,371707.31707317074,
2016-09-01,363921.9512195122,
2016-10-01,367814.6341463415,
2016-11-01,369112.1951219512,
2016-12-01,371707.31707317074,
2017-01-01,376897.56097560975,1492.1951219512207
2017-02-01,373653.65853658534,1297.5609756097547
2017-03-01,376248.7804878049,1492.1951219512207
2017-04-01,385331.7073170732,1686.829268292687
2017-05-01,389224.39024390245,2270.731707317074
2017-06-01,389873.1707317073,1946.341463414632
2017-07-01,384682.9268292683,973.170731707319
2017-08-01,389224.39024390245,1751.7073170731717
2017-09-01,385980.48780487804,2205.853658536583
2017-10-01,379492.68292682926,1167.8048780487793
2017-11-01,382736.5853658537,1362.4390243902453
2017-12-01,389224.39024390245,1751.7073170731717
2018-01-01,389873.1707317073,1297.5609756097547
2018-02-01,389224.39024390245,1557.0731707317113
2018-03-01,393117.0731707317,1686.8292682926813
2018-04-01,384682.9268292683,-64.87804878049064
2018-05-01,385980.48780487804,-324.39024390244157
2018-06-01,398956.0975609756,908.2926829268282
2018-07-01,389873.1707317073,519.0243902439018
2018-08-01,382736.5853658537,-648.7804878048773
2018-09-01,374951.2195121951,-1102.9268292682943
2018-10-01,374951.2195121951,-454.14634146341706
2018-11-01,385331.7073170732,259.5121951219509
2018-12-01,390521.9512195122,129.75609756097546
2019-01-01,384682.9268292683,-519.0243902439018
2019-02-01,387278.0487804878,-194.63414634146613
2019-03-01,388575.60975609755,-454.14634146341706
2019-04-01,385980.48780487804,129.75609756097546
2019-05-01,389873.1707317073,389.2682926829264
2019-06-01,397658.53658536583,-129.75609756097546
2019-07-01,400253.65853658534,1038.0487804878037
2019-08-01,387926.8292682927,519.0243902439018
2019-09-01,391819.51219512196,1686.829268292687
2019-10-01,386629.26829268294,1167.804878048785
2019-11-01,394414.6341463415,908.2926829268282
2019-12-01,390521.9512195122,0.0
2020-01-01,384682.9268292683,0.0
2020-02-01,391819.51219512196,454.14634146341706
2020-03-01,401551.2195121951,1297.5609756097547
2020-04-01,398307.31707317074,1232.6829268292697
2020-06-01,408687.8048780488,1881.4634146341473
2020-07-01,415824.39024390245,1816.5853658536623
2020-08-01,409985.3658536585,973.170731707319
2020-09-01,409336.5853658537,2140.975609756098
2020-10-01,409336.5853658537,1751.7073170731717
2020-11-01,413878.0487804878,2724.8780487804847
2020-12-01,416473.1707317073,2205.853658536583
2021-01-01,407390.243902439,1686.8292682926813
2021-02-01,406092.68292682926,2140.975609756098
2021-03-01,419068.2926829268,2724.8780487804847
2021-04-01,421663.4146341463,2011.2195121951227
2021-05-01,419717.0731707317,2140.975609756098
2021-06-01,422312.1951219512,1362.4390243902453
2021-07-01,430097.56097560975,1427.3170731707303
2021-08-01,433341.4634146341,2335.6097560975586
2021-09-01,425556.0975609756,1621.9512195121904
2021-10-01,415824.39024390245,648.7804878048773
2021-11-01,411931.7073170732,-194.6341463414603
2021-12-01,419068.2926829268,259.5121951219509
2022-01-01,412580.48780487804,519.0243902439018
2022-02-01,411282.9268292683,519.0243902439018
2022-03-01,424258.53658536583,519.0243902439018
2022-04-01,425556.0975609756,389.2682926829264
2022-06-01,428151.2195121951,843.4146341463377
2022-07-01,448912.1951219512,2660.0
2022-08-01,444370.73170731706,1427.3170731707303
2022-09-01,448263.4146341463,1492.1951219512207
2022-10-01,439829.26829268294,1427.3170731707362
2022-11-01,433341.4634146341,1751.707317073166
2022-12-01,445019.51219512196,3308.7804878048773
2023-02-01,435287.8048780488,1621.9512195121963
2023-03-01,454102.43902439025,4152.195121951221
2023-04-01,460590.243902439,4930.731707317073
2023-05-01,467726.8292682927,4346.829268292687
2023-07-01,483946.3414634146,5839.024390243902
2023-08-01,472917.0731707317,4476.585365853663
2023-10-01,455400.0,648.7804878048773
2023-11-01,456697.56097560975,1232.6829268292697
2023-12-01,463834.14634146343,1557.0731707317113
2024-01-01,463834.14634146343,2400.487804878049
2024-03-01,465780.48780487804,3243.9024390243926
2024-04-01,474214.6341463415,2919.512195121951
2024-06-01,467726.8292682927,3243.9024390243926
2024-08-01,493678.0487804878,3957.5609756097547
2024-09-01,482648.7804878049,2205.8536585365887
2024-11-01,478107.31707317074,1038.0487804878037
2024-12-01,485243.9024390244,129.7560975609813
2025-02-01,486541.4634146341,1362.4390243902394
2025-04-01,498219.51219512196,4281.951219512196
2025-05-01,500165.85365853657,4346.829268292681
2025-07-01,509248.7804878049,4541.463414634148
2025-09-01,527414.6341463415,6358.048780487804
2025-10-01,513790.243902439,4800.975609756098
2025-11-01,511195.1219512195,3698.048780487804
